Algoritm,TipDate,Dimensiune,Timp_mediu_ns,Timp_mediu_ms,RAM_mediu_KB,Esantioane
BubbleSort,almost_sorted,10000,75725880.000000,75.725880,94.400000,5
BubbleSort,almost_sorted,50000,1937923120.000000,1937.923120,52.800000,5
BubbleSort,almost_sorted,100000,7926163060.000000,7926.163060,0.000000,5
BubbleSort,almost_sorted,200000,32996387400.000000,32996.387400,0.000000,5
BubbleSort,few_unique,10000,134626920.000000,134.626920,111.200000,5
BubbleSort,few_unique,50000,4584737120.000000,4584.737120,80.000000,5
BubbleSort,few_unique,100000,20129247100.000000,20129.247100,0.000000,5
BubbleSort,few_unique,200000,82888346420.000000,82888.346420,0.000000,5
BubbleSort,random,10000,167991840.000000,167.991840,104.800000,5
BubbleSort,random,50000,9498413820.000000,9498.413820,0.000000,5
BubbleSort,random,100000,60669978620.000000,60669.978620,8.800000,5
BubbleSort,random,200000,97174802740.000000,97174.802740,0.000000,5
BubbleSort,reverse,10000,287179320.000000,287.179320,80.800000,5
BubbleSort,reverse,50000,7163472620.000000,7163.472620,0.000000,5
BubbleSort,reverse,100000,28714709460.000000,28714.709460,1.600000,5
BubbleSort,reverse,200000,115627739300.000000,115627.739300,0.000000,5
BubbleSort,sorted,10000,7540.000000,0.007540,7.200000,5
BubbleSort,sorted,50000,33820.000000,0.033820,12.000000,5
BubbleSort,sorted,100000,66860.000000,0.066860,15.200000,5
BubbleSort,sorted,200000,141580.000000,0.141580,16.800000,5
HeapSort,almost_sorted,10000,408280.000000,0.408280,40.800000,5
HeapSort,almost_sorted,50000,2518840.000000,2.518840,180.800000,5
HeapSort,almost_sorted,100000,5183220.000000,5.183220,230.400000,5
HeapSort,almost_sorted,200000,10628400.000000,10.628400,369.600000,5
HeapSort,few_unique,10000,361320.000000,0.361320,9.600000,5
HeapSort,few_unique,50000,1757560.000000,1.757560,156.000000,5
HeapSort,few_unique,100000,3767360.000000,3.767360,264.000000,5
HeapSort,few_unique,200000,7484080.000000,7.484080,328.800000,5
HeapSort,random,10000,547820.000000,0.547820,32.000000,5
HeapSort,random,50000,6145680.000000,6.145680,196.000000,5
HeapSort,random,100000,21966380.000000,21.966380,320.000000,5
HeapSort,random,200000,14644380.000000,14.644380,327.200000,5
HeapSort,reverse,10000,395980.000000,0.395980,44.000000,5
HeapSort,reverse,50000,2088020.000000,2.088020,132.000000,5
HeapSort,reverse,100000,4386760.000000,4.386760,276.800000,5
HeapSort,reverse,200000,8700800.000000,8.700800,412.000000,5
HeapSort,sorted,10000,343380.000000,0.343380,24.000000,5
HeapSort,sorted,50000,2176380.000000,2.176380,126.400000,5
HeapSort,sorted,100000,4102020.000000,4.102020,331.200000,5
HeapSort,sorted,200000,8065060.000000,8.065060,444.800000,5
InsertionSort,almost_sorted,10000,1086800.000000,1.086800,36.800000,5
InsertionSort,almost_sorted,50000,18558240.000000,18.558240,40.000000,5
InsertionSort,almost_sorted,100000,79557220.000000,79.557220,99.200000,5
InsertionSort,almost_sorted,200000,311028400.000000,311.028400,44.000000,5
InsertionSort,few_unique,10000,5429220.000000,5.429220,89.600000,5
InsertionSort,few_unique,50000,113464140.000000,113.464140,30.400000,5
InsertionSort,few_unique,100000,497059960.000000,497.059960,40.800000,5
InsertionSort,few_unique,200000,1914990680.000000,1914.990680,67.200000,5
InsertionSort,random,10000,6467700.000000,6.467700,75.200000,5
InsertionSort,random,50000,290751140.000000,290.751140,32.000000,5
InsertionSort,random,100000,1733090200.000000,1733.090200,64.800000,5
InsertionSort,random,200000,2350468800.000000,2350.468800,75.200000,5
InsertionSort,reverse,10000,10821900.000000,10.821900,76.000000,5
InsertionSort,reverse,50000,296076860.000000,296.076860,28.000000,5
InsertionSort,reverse,100000,1174405820.000000,1174.405820,100.000000,5
InsertionSort,reverse,200000,5073097280.000000,5073.097280,21.600000,5
InsertionSort,sorted,10000,9180.000000,0.009180,6.400000,5
InsertionSort,sorted,50000,53000.000000,0.053000,20.000000,5
InsertionSort,sorted,100000,125940.000000,0.125940,15.200000,5
InsertionSort,sorted,200000,181460.000000,0.181460,18.400000,5
MergeSort,almost_sorted,10000,1749300.000000,1.749300,112.800000,5
MergeSort,almost_sorted,50000,7932940.000000,7.932940,203.200000,5
MergeSort,almost_sorted,100000,18516100.000000,18.516100,249.600000,5
MergeSort,almost_sorted,200000,32052900.000000,32.052900,230.400000,5
MergeSort,few_unique,10000,1824860.000000,1.824860,97.600000,5
